customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score
137,59,15,9924.98,3,4,4,344
138,271,12,9464.97,1,3,4,134
139,101,13,8426.59,2,4,4,244
140,178,9,5825.23,1,2,2,122
141,145,11,6639.0,2,3,3,233
142,66,9,5773.85,3,2,2,322
143,26,8,5183.22,4,1,2,412
144,165,9,5262.2,1,2,2,122
145,144,12,5868.0199999999995,2,3,2,232
146,123,8,3632.51,2,1,1,211
147,374,11,6610.93,1,3,3,133
148,25,8,6596.860000000001,4,1,3,413
149,38,10,6387.110000000001,3,2,3,323
150,179,9,9214.82,1,2,4,124
151,2,9,3693.1099999999997,4,2,1,421
152,244,11,10131.89,1,3,4,134
153,130,14,9376.369999999999,2,4,4,244
154,13,10,8595.45,4,2,4,424
155,83,8,6798.78,2,1,3,213
156,139,6,3180.28,2,1,1,211
157,200,10,4016.4799999999996,1,2,1,121
158,356,8,6566.26,1,1,3,113
159,125,7,5813.51,2,1,2,212
160,175,9,4914.4800000000005,1,2,2,122
161,147,16,10364.73,2,4,4,244
162,17,8,10058.369999999999,4,1,4,414
163,158,11,6596.75,1,3,3,133
164,234,11,5287.95,1,3,2,132
165,259,9,4456.97,1,2,2,122
166,1,13,9208.06,4,4,4,444
167,106,12,6323.65,2,3,3,233
168,187,14,9034.52,1,4,4,144
169,30,12,5789.34,4,3,2,432
170,29,8,2525.17,4,1,1,411
171,241,7,2061.83,1,1,1,111
172,136,12,6303.69,2,3,3,233
173,253,9,10570.380000000001,1,2,4,124
174,341,9,1515.52,1,2,1,121
175,95,11,11470.83,2,3,4,234
176,36,6,2934.06,3,1,1,311
177,11,14,6054.5199999999995,4,4,3,443
178,337,11,5371.55,1,3,2,132
179,13,10,5440.75,4,2,2,422
180,65,14,5682.38,3,4,2,342
181,68,7,3107.27,3,1,1,311
182,54,15,8757.35,3,4,4,344
183,12,9,9735.53,4,2,4,424
184,88,12,8898.029999999999,2,3,4,234
185,204,9,2621.97,1,2,1,121
186,220,19,7813.42,1,4,3,143
187,64,14,9546.4,3,4,4,344
188,15,12,10541.61,4,3,4,434
189,94,8,6097.889999999999,2,1,3,213
190,163,14,14604.83,1,4,4,144
191,16,11,9152.380000000001,4,3,4,434
192,50,6,1982.26,3,1,1,311
193,309,7,5934.46,1,1,2,112
194,207,10,6782.66,1,2,3,123
195,109,12,8812.59,2,3,4,234
196,129,11,5366.55,2,3,2,232
197,2,11,7288.16,4,3,3,433
198,139,6,5178.32,2,1,2,212
199,121,11,9191.99,2,3,4,234
200,2,16,8081.599999999999,4,4,3,443
201,124,8,4499.35,2,1,2,212
202,5,9,5142.83,4,2,2,422
203,102,12,4172.28,2,3,1,231
204,23,11,5022.98,4,3,2,432
205,5,10,7654.75,4,2,3,423
206,30,13,8692.46,4,4,4,444
207,23,10,6152.41,4,2,3,423
208,22,10,5003.48,4,2,2,422
209,69,12,8808.34,3,3,4,334
210,41,13,8680.77,3,4,4,344
211,114,9,5598.3,2,2,2,222
212,154,8,5600.450000000001,1,1,2,112
213,172,9,9288.460000000001,1,2,4,124
214,40,9,6904.84,3,2,3,323
215,11,18,15320.44,4,4,4,444
216,152,14,9640.19,2,4,4,244
217,20,15,11757.71,4,4,4,444
218,556,5,4853.98,1,1,2,112
219,230,14,6429.2,1,4,3,143
220,14,12,6635.969999999999,4,3,3,433
221,27,4,1246.49,4,1,1,411
222,78,14,8502.79,2,4,4,244
223,53,15,10030.33,3,4,4,344
224,190,12,10240.55,1,3,4,134
225,51,13,5045.26,3,4,2,342
226,112,11,6696.4800000000005,2,3,3,233
227,39,13,9034.68,3,4,4,344
228,332,8,3616.21,1,1,1,111
229,58,9,3511.55,3,2,1,321
230,256,6,3362.9300000000003,1,1,1,111
231,130,13,9084.52,2,4,4,244
232,45,10,4349.96,3,2,2,322
233,50,7,2381.49,3,1,1,311
234,131,8,4848.81,2,1,2,212
235,36,14,5938.37,3,4,2,342
236,52,12,3695.4900000000002,3,3,1,331
237,70,12,8083.139999999999,3,3,3,333
238,350,10,4561.61,1,2,2,122
239,2,6,2616.0,4,1,1,411
240,38,11,7803.78,3,3,3,333
241,12,14,10163.31,4,4,4,444
242,27,12,3827.58,4,3,1,431
243,5,8,2532.5299999999997,4,1,1,411
244,244,12,5872.04,1,3,2,132
245,141,6,4991.27,2,1,2,212
246,34,12,4927.25,3,3,2,332
247,34,6,4228.29,3,1,1,311
248,59,7,3474.03,3,1,1,311
249,101,12,5100.24,2,3,2,232
250,90,12,8508.67,2,3,4,234
251,21,10,4613.7,4,2,2,422
252,30,15,8159.3,4,4,3,443
253,136,9,4117.16,2,2,1,221
254,252,6,2911.42,1,1,1,111
255,248,9,4198.16,1,2,1,121
256,69,3,4315.56,3,1,2,312
257,148,11,7224.97,2,3,3,233
258,24,5,1792.03,4,1,1,411
259,49,11,8548.06,3,3,4,334
260,262,11,6733.2,1,3,3,133
261,79,5,2738.1099999999997,2,1,1,211
262,52,9,5529.38,3,2,2,322
263,9,9,3223.65,4,2,1,421
264,63,17,8421.09,3,4,4,344
265,98,6,6168.0599999999995,2,1,3,213
266,32,13,9554.2,4,4,4,444
267,83,9,5739.03,2,2,2,222
268,92,6,4835.86,2,1,2,212
269,155,23,15843.2,1,4,4,144
270,16,11,5979.63,4,3,2,432
271,52,9,4415.87,3,2,2,322
272,247,8,5351.97,1,1,2,112
273,155,9,7228.99,1,2,3,123
274,160,6,2263.84,1,1,1,111
275,339,11,7542.29,1,3,3,133
276,362,3,1970.24,1,1,1,111
277,143,8,3444.27,2,1,1,211
278,11,10,5893.69,4,2,2,422
279,8,11,4558.26,4,3,2,432
280,58,6,2262.06,3,1,1,311
281,190,15,14183.69,1,4,4,144
282,102,7,3830.31,2,1,1,211
283,94,11,6483.85,2,3,3,233
284,117,17,11741.52,2,4,4,244
285,56,15,6415.23,3,4,3,343
286,75,14,7430.09,3,4,3,343
287,26,11,2169.52,4,3,1,431
288,99,11,10994.42,2,3,4,234
289,444,7,4775.96,1,1,2,112
290,18,10,4554.88,4,2,2,422
291,5,9,6079.32,4,2,3,423
292,135,8,7058.97,2,1,3,213
293,742,3,3477.79,1,1,1,111
294,41,11,4680.47,3,3,2,332
295,30,10,7167.54,4,2,3,423
296,3,15,9572.11,4,4,4,444
297,173,6,1716.29,1,1,1,111
298,39,10,4936.7699999999995,3,2,2,322
299,27,14,7759.6,4,4,3,443
300,616,8,3747.95,1,1,1,111
301,253,7,5339.24,1,1,2,112
302,38,8,8618.79,3,1,4,314
303,232,8,6492.62,1,1,3,113
304,131,4,924.68,2,1,1,211
305,89,11,5160.009999999999,2,3,2,232
306,25,15,11460.66,4,4,4,444
307,77,8,3057.96,2,1,1,211
308,188,16,9610.91,1,4,4,144
309,228,8,7281.58,1,1,3,113
310,70,7,3791.74,3,1,1,311
311,141,18,7226.16,2,4,3,243
312,138,8,7530.1,2,1,3,213
313,87,11,7489.75,2,3,3,233
314,147,14,5826.0599999999995,2,4,2,242
315,237,7,1462.0,1,1,1,111
316,131,8,8518.560000000001,2,1,4,214
317,44,10,7264.91,3,2,3,323
318,85,15,14375.56,2,4,4,244
319,49,9,5385.95,3,2,2,322
320,51,16,12730.36,3,4,4,344
321,486,6,4959.2300000000005,1,1,2,112
322,56,7,3499.32,3,1,1,311
323,2,10,6950.78,4,2,3,423
324,132,15,6151.8,2,4,3,243
325,31,15,10757.460000000001,4,4,4,444
326,26,16,12430.54,4,4,4,444
327,20,12,8365.89,4,3,4,434
328,67,10,6608.240000000001,3,2,3,323
329,741,7,5135.16,1,1,2,112
330,44,22,16597.0,3,4,4,344
331,80,7,3862.7599999999998,2,1,1,211
332,453,11,6747.7,1,3,3,133
333,82,14,5773.2,2,4,2,242
334,68,11,8690.88,3,3,4,334
335,68,11,4254.9400000000005,3,3,1,331
336,79,10,10118.369999999999,2,2,4,224
337,44,9,5948.589999999999,3,2,2,322
338,28,11,5872.95,4,3,2,432
339,109,4,2077.22,2,1,1,211
340,181,7,2701.95,1,1,1,111
341,191,14,10310.22,1,4,4,144
342,16,21,11733.97,4,4,4,444
343,149,11,7400.64,2,3,3,233
344,129,12,5827.65,2,3,2,232
345,89,6,1596.79,2,1,1,211
346,196,6,3249.22,1,1,1,111
347,60,13,7560.95,3,4,3,343
348,76,12,4637.41,3,3,2,332
349,301,10,6383.45,1,2,3,123
350,220,10,4599.82,1,2,2,122
351,84,13,4651.2699999999995,2,4,2,242
352,62,9,4075.63,3,2,1,321
353,51,18,10747.58,3,4,4,344
354,174,6,4640.13,1,1,2,112
355,96,9,5920.29,2,2,2,222
356,20,9,6572.490000000001,4,2,3,423
357,173,10,11006.029999999999,1,2,4,124
358,39,11,5005.51,3,3,2,332
359,176,8,2819.03,1,1,1,111
360,25,5,1409.2,4,1,1,411
361,30,11,7614.38,4,3,3,433
362,76,11,10751.83,3,3,4,334
363,48,9,4608.17,3,2,2,322
364,75,6,5132.85,3,1,2,312
365,18,12,10471.74,4,3,4,434
366,125,10,11026.02,2,2,4,224
367,44,7,3691.9,3,1,1,311
368,80,15,9374.4,2,4,4,244
369,6,12,9968.26,4,3,4,434
370,125,7,2577.44,2,1,1,211
371,88,10,4814.719999999999,2,2,2,222
372,23,13,5512.78,4,4,2,442
373,214,7,3322.35,1,1,1,111
374,41,7,3021.6,3,1,1,311
375,32,14,12948.7,4,4,4,444
376,58,12,8219.17,3,3,3,333
377,163,10,6267.71,1,2,3,123
378,50,10,6481.84,3,2,3,323
379,11,14,9026.41,4,4,4,444
380,5,5,966.6400000000001,4,1,1,411
381,2,16,10112.57,4,4,4,444
382,114,7,3913.4700000000003,2,1,1,211
383,184,8,4255.54,1,1,1,111
384,283,5,6012.63,1,1,2,112
385,480,9,3032.31,1,2,1,121
386,180,10,4057.21,1,2,1,121
387,326,8,4211.5599999999995,1,1,1,111
388,16,6,3406.8999999999996,4,1,1,411
389,124,7,3630.6800000000003,2,1,1,211
390,1,12,7730.42,4,3,3,433
391,249,9,8565.65,1,2,4,124
392,92,10,7035.66,2,2,3,223
393,208,10,6482.96,1,2,3,123
394,38,8,2958.0,3,1,1,311
395,15,14,9127.4,4,4,4,444
396,261,9,4706.62,1,2,2,122
397,59,10,5273.71,3,2,2,322
398,43,7,4479.49,3,1,2,312
399,19,15,5926.1,4,4,2,442
400,50,9,4553.95,3,2,2,322
401,46,12,6351.13,3,3,3,333
402,166,9,5291.76,1,2,2,122
403,142,9,5459.26,2,2,2,222
404,17,11,7729.48,4,3,3,433
405,167,15,7924.94,1,4,3,143
406,41,12,6978.61,3,3,3,333
407,53,14,5820.01,3,4,2,342
408,98,12,8439.3,2,3,4,234
409,237,9,7170.3099999999995,1,2,3,123
410,365,7,4418.96,1,1,2,112
411,32,12,9113.960000000001,4,3,4,434
412,196,12,8052.75,1,3,3,133
413,78,13,9311.17,2,4,4,244
414,208,10,7953.99,1,2,3,123
415,57,9,7240.67,3,2,3,323
416,122,11,8275.029999999999,2,3,4,234
417,19,7,5076.18,4,1,2,412
418,23,9,4853.13,4,2,2,422
419,189,7,4349.629999999999,1,1,2,112
420,313,8,4327.34,1,1,2,112
421,158,12,9963.869999999999,1,3,4,134
422,14,15,6505.25,4,4,3,443
423,85,9,4851.5,2,2,2,222
424,48,10,5478.67,3,2,2,322
425,54,12,6975.28,3,3,3,333
426,5,11,9568.05,4,3,4,434
427,467,6,6391.04,1,1,3,113
428,162,11,4793.69,1,3,2,132
429,28,10,4806.98,4,2,2,422
430,114,8,6185.5199999999995,2,1,3,213
431,77,13,5361.1900000000005,2,4,2,242
432,61,7,4775.08,3,1,2,312
433,71,16,13246.5,3,4,4,344
434,9,11,6389.32,4,3,3,433
435,144,11,8395.18,2,3,4,234
436,365,7,2817.4,1,1,1,111
437,110,14,8899.57,2,4,4,244
438,58,9,4282.0,3,2,1,321
439,253,7,7561.5,1,1,3,113
440,1,15,14589.89,4,4,4,444
441,45,9,3391.88,3,2,1,321
442,241,12,9286.95,1,3,4,134
443,204,6,3039.76,1,1,1,111
444,1,7,2726.33,4,1,1,411
445,10,12,4670.72,4,3,2,432
446,178,10,3183.37,1,2,1,121
447,66,9,4118.469999999999,3,2,1,321
448,143,14,13288.3,2,4,4,244
449,160,20,11319.06,1,4,4,144
450,159,10,6349.969999999999,1,2,3,123
451,65,16,6120.3,3,4,3,343
452,257,10,8735.449999999999,1,2,4,124
453,65,11,10666.380000000001,3,3,4,334
454,22,11,7711.400000000001,4,3,3,433
455,4,13,10808.630000000001,4,4,4,444
456,23,18,13437.32,4,4,4,444
457,76,10,6560.3099999999995,3,2,3,323
458,8,6,2293.79,4,1,1,411
459,104,9,6191.28,2,2,3,223
460,48,15,6688.56,3,4,3,343
461,68,13,10602.43,3,4,4,344
462,175,11,7257.49,1,3,3,133
463,37,7,5399.53,3,1,2,312
464,288,9,3646.06,1,2,1,121
465,41,13,9033.89,3,4,4,344
466,1,13,10133.82,4,4,4,444
467,16,10,4011.7700000000004,4,2,1,421
468,74,11,8027.58,3,3,3,333
469,71,12,9488.69,3,3,4,334
470,268,8,4397.2,1,1,2,112
471,5,9,5934.58,4,2,2,422
472,10,14,7131.84,4,4,3,443
473,35,15,8724.15,3,4,4,344
474,241,6,6295.0599999999995,1,1,3,113
475,101,13,7221.31,2,4,3,243
476,92,17,19392.34,2,4,4,244
477,4,13,7446.46,4,4,3,443
478,27,14,7857.2699999999995,4,4,3,443
479,223,14,7241.01,1,4,3,143
480,124,8,4190.59,2,1,1,211
481,211,11,9716.029999999999,1,3,4,134
482,141,5,3646.59,2,1,1,211
483,32,10,5410.98,4,2,2,422
484,37,9,5535.46,3,2,2,322
485,158,14,9734.960000000001,1,4,4,144
486,22,9,4052.8999999999996,4,2,1,421
487,55,10,8415.23,3,2,4,324
488,186,10,3563.43,1,2,1,121
489,91,8,5901.63,2,1,2,212
490,14,8,4979.7300000000005,4,1,2,412
491,90,7,3800.01,2,1,1,211
492,11,4,3015.1400000000003,4,1,1,411
493,66,14,5092.29,3,4,2,342
494,27,8,5040.8,4,1,2,412
495,158,10,4166.53,1,2,1,121
496,278,6,5415.46,1,1,2,112
497,116,11,5016.1,2,3,2,232
498,284,4,3567.84,1,1,1,111
499,9,10,9783.17,4,2,4,424
500,109,7,4172.58,2,1,1,211
501,232,9,4747.9,1,2,2,122
502,75,10,4814.49,3,2,2,322
503,178,8,4413.24,1,1,2,112
504,21,11,7640.11,4,3,3,433
505,134,5,1238.05,2,1,1,211
506,102,14,10618.1,2,4,4,244
507,4,16,14516.91,4,4,4,444
508,3,10,11223.29,4,2,4,424
509,42,15,6210.21,3,4,3,343
510,77,9,5547.08,2,2,2,222
511,199,9,4830.83,1,2,2,122
512,17,10,6869.57,4,2,3,423
513,110,8,4549.030000000001,2,1,2,212
514,4,14,8633.13,4,4,4,444
515,303,6,2130.33,1,1,1,111
516,4,7,4212.89,4,1,1,411
517,73,12,6814.85,3,3,3,333
518,387,7,3498.4900000000002,1,1,1,111
519,426,7,6499.0,1,1,3,113
520,212,11,6656.5599999999995,1,3,3,133
521,7,6,4948.99,4,1,2,412
522,154,9,3513.4,1,2,1,121
523,5,6,3959.9,4,1,1,411
524,57,11,5897.7,3,3,2,332
525,276,8,3157.87,1,1,1,111
526,35,9,4176.59,3,2,1,321
527,359,7,5394.62,1,1,2,112
528,85,10,7028.51,2,2,3,223
529,20,16,9900.19,4,4,4,444
530,16,9,6777.96,4,2,3,423
531,98,14,7832.429999999999,2,4,3,243
532,247,7,4956.49,1,1,2,112
533,13,10,6951.62,4,2,3,423
534,20,7,5603.76,4,1,2,412
535,476,7,2312.81,1,1,1,111
536,31,15,6999.26,4,4,3,443
537,41,11,4954.35,3,3,2,332
538,5,16,9300.039999999999,4,4,4,444
539,53,7,4221.64,3,1,1,311
540,191,10,4829.92,1,2,2,122
541,27,13,8266.12,4,4,4,444
542,329,7,5299.99,1,1,2,112
543,249,8,4875.12,1,1,2,112
544,271,7,2831.81,1,1,1,111
545,86,8,3037.2,2,1,1,211
546,103,9,4120.12,2,2,1,221
547,14,11,6515.85,4,3,3,433
548,148,7,2695.91,2,1,1,211
549,32,10,2609.17,4,2,1,421
550,67,16,10249.0,3,4,4,344
551,70,7,3112.3399999999997,3,1,1,311
552,107,6,6283.37,2,1,3,213
553,223,13,6014.18,1,4,2,142
554,73,6,4919.9,3,1,2,312
555,145,8,6022.22,2,1,2,212
556,108,10,5791.83,2,2,2,222
557,46,10,5251.0,3,2,2,322
558,118,16,10190.69,2,4,4,244
559,8,12,9705.89,4,3,4,434
560,86,11,4543.96,2,3,2,232
561,124,12,6172.55,2,3,3,233
562,4,12,8038.99,4,3,3,433
563,196,8,5400.85,1,1,2,112
564,43,9,8324.38,3,2,4,324
565,12,11,9860.43,4,3,4,434
566,97,10,3342.49,2,2,1,221
567,23,7,6238.860000000001,4,1,3,413
568,31,5,2747.3799999999997,4,1,1,411
569,56,7,3901.39,3,1,1,311
570,17,8,4366.61,4,1,2,412
571,130,7,6404.94,2,1,3,213
572,7,10,3372.16,4,2,1,421
573,53,10,9251.15,3,2,4,324
574,22,13,12541.56,4,4,4,444
575,65,7,2861.86,3,1,1,311
576,90,9,8165.879999999999,2,2,3,223
577,177,9,4672.76,1,2,2,122
578,133,9,3980.92,2,2,1,221
579,64,11,5815.4800000000005,3,3,2,332
580,58,17,13365.19,3,4,4,344
581,26,9,5310.05,4,2,2,422
582,113,10,6747.91,2,2,3,223
583,124,10,5132.5,2,2,2,222
584,448,8,4955.179999999999,1,1,2,112
585,179,12,6011.38,1,3,2,132
586,156,8,5332.4800000000005,1,1,2,112
587,73,10,6673.16,3,2,3,323
588,13,9,6196.73,4,2,3,423
589,24,8,3906.76,4,1,1,411
590,75,7,3823.62,3,1,1,311
591,94,16,6335.96,2,4,3,243
592,164,10,3177.34,1,2,1,121
593,24,18,6074.4400000000005,4,4,3,443
594,394,11,4878.3099999999995,1,3,2,132
595,38,12,7688.13,3,3,3,333
596,194,8,4183.07,1,1,1,111
597,69,9,3856.01,3,2,1,321
598,36,15,8571.42,3,4,4,344
599,31,9,5743.45,4,2,2,422
600,60,13,5687.54,3,4,2,342
601,10,7,4343.0,4,1,2,412
602,76,12,7610.23,3,3,3,333
603,28,12,8137.52,4,3,3,433
604,19,9,8239.36,4,2,4,424
605,275,10,11474.71,1,2,4,124
606,96,10,8237.97,2,2,3,223
607,10,14,7792.849999999999,4,4,3,443
608,1,11,6381.32,4,3,3,433
609,8,13,17083.37,4,4,4,444
610,69,10,12589.09,3,2,4,324
611,227,8,3269.5,1,1,1,111
612,54,13,5400.22,3,4,2,342
613,229,9,6078.43,1,2,3,123
614,111,9,9830.07,2,2,4,224
615,499,5,2023.72,1,1,1,111
616,340,8,5068.3099999999995,1,1,2,112
617,509,2,2682.29,1,1,1,111
618,103,11,8650.53,2,3,4,234
619,158,12,8802.61,1,3,4,134
620,242,12,7031.9400000000005,1,3,3,133
621,92,9,4450.77,2,2,2,222
622,141,10,3916.31,2,2,1,221
623,109,12,14518.66,2,3,4,234
624,104,11,10297.26,2,3,4,234
625,110,8,8754.91,2,1,4,214
626,117,3,990.5600000000001,2,1,1,211
627,127,12,5897.83,2,3,2,232
628,42,9,5161.3,3,2,2,322
629,19,8,7685.38,4,1,3,413
630,98,11,8181.88,2,3,3,233
631,8,12,6307.54,4,3,3,433
632,45,9,6264.889999999999,3,2,3,323
633,103,11,3891.6,2,3,1,231
634,3,9,3550.91,4,2,1,421
635,106,7,3543.98,2,1,1,211
636,6,16,16945.04,4,4,4,444
637,114,9,2459.7200000000003,2,2,1,221
638,95,17,9086.24,2,4,4,244
639,44,8,5391.79,3,1,2,312
640,68,9,7504.74,3,2,3,323
641,211,12,10677.11,1,3,4,134
642,157,12,7224.469999999999,1,3,3,133
643,348,4,3362.7799999999997,1,1,1,111
644,21,7,4663.73,4,1,2,412
645,95,7,3634.45,2,1,1,211
646,26,13,9707.32,4,4,4,444
647,262,6,4094.64,1,1,1,111
648,68,11,13629.4,3,3,4,334
649,3,8,4174.320000000001,4,1,1,411
650,172,11,10026.57,1,3,4,134
651,8,12,5104.26,4,3,2,432
652,26,9,4087.91,4,2,1,421
653,295,6,4592.57,1,1,2,112
654,222,4,4400.46,1,1,2,112
655,85,9,7824.43,2,2,3,223
656,35,6,2486.75,3,1,1,311
657,195,5,4522.7,1,1,2,112
658,23,6,4739.85,4,1,2,412
659,13,11,3652.97,4,3,1,431
660,194,9,2537.8199999999997,1,2,1,121
661,50,9,5989.78,3,2,2,322
662,54,9,4459.45,3,2,2,322
663,218,11,10876.67,1,3,4,134
664,63,9,3867.34,3,2,1,321
665,293,13,4392.05,1,4,2,142
666,50,12,7764.9,3,3,3,333
667,94,8,9662.32,2,1,4,214
668,30,18,7255.1,4,4,3,443
669,76,10,4600.349999999999,3,2,2,322
670,266,7,6090.35,1,1,3,113
671,33,6,2235.14,4,1,1,411
672,12,8,7773.089999999999,4,1,3,413
673,388,11,7232.389999999999,1,3,3,133
674,32,9,3167.56,4,2,1,421
675,37,17,12935.36,3,4,4,344
676,33,9,4409.76,4,2,2,422
677,171,8,4132.77,1,1,1,111
678,119,12,4976.93,2,3,2,232
679,53,12,7026.49,3,3,3,333
680,44,10,9971.24,3,2,4,324
681,2,8,2886.9,4,1,1,411
682,288,7,7029.9,1,1,3,113
683,162,15,7533.96,1,4,3,143
684,49,8,3736.08,3,1,1,311
685,615,5,3801.87,1,1,1,111
686,4,13,7953.34,4,4,3,443
687,291,13,11659.63,1,4,4,144
688,28,12,11395.74,4,3,4,434
689,93,12,7350.58,2,3,3,233
690,281,7,7369.11,1,1,3,113
691,102,9,2760.63,2,2,1,221
692,145,10,5340.83,2,2,2,222
693,98,11,5823.17,2,3,2,232
694,26,15,6768.99,4,4,3,443
695,15,18,8316.38,4,4,4,444
696,425,7,7784.69,1,1,3,113
697,76,8,4567.1,3,1,2,312
698,322,7,4729.820000000001,1,1,2,112
699,82,16,8194.02,2,4,3,243
700,45,8,10005.11,3,1,4,314
701,13,10,6995.799999999999,4,2,3,423
702,9,6,2583.27,4,1,1,411
703,40,13,5872.93,3,4,2,342
704,40,9,6841.32,3,2,3,323
705,31,9,11132.89,4,2,4,424
706,55,11,4964.53,3,3,2,332
707,35,8,3366.1099999999997,3,1,1,311
708,131,9,6841.32,2,2,3,223
709,68,13,9986.33,3,4,4,344
710,195,13,4341.09,1,4,2,142
711,148,11,5703.15,2,3,2,232
712,159,12,6653.05,1,3,3,133
